Device,Replicate,Experiment,Plate Name,Animal Description,Plate Position Name,Plate Row,Plate Column,Plate Center Position X (inches),Plate Center Position Y (inches),Plate Size X (inches),Plate Size Y (inches),Strain,Genotype,Condition1,Condition 2,Condition 3,Culturing Temperature,Experiment Temperature,Food Source,Environmental Conditions,Incubator Name,Incubator Column,Incubator Shelf,Event Frequency,Age at Death (d) Raw,Duration Not Fast Moving (d),Longest Gap in Measurement (d),Duration before death contraction end (d),Censored,Censored Reason,Event Observation Type,Annotation Source,Technique,Analysis Type,Event Type
Vesuvius,1,RL_110918,Vesuvius_a::2,PX632::mated::NGM::47::20::OP50-1,a::2,2,a,1.05312,5.50625,1.86875,1.86875,PX632,mated.equal.PX632,mated,NGM,47,20,20,OP50-1,,,,,1,30.2241,4.5,0.0833333,0,1,Objects apparently moving at termination of measurement,,Automated Analysis,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::2,PX632::mated::NGM::47::20::OP50-1,a::2,2,a,1.05312,5.50625,1.86875,1.86875,PX632,mated.equal.PX632,mated,NGM,47,20,20,OP50-1,,,,,1,13.5991,2.91667,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::2,PX632::mated::NGM::47::20::OP50-1,a::2,2,a,1.05312,5.50625,1.86875,1.86875,PX632,mated.equal.PX632,mated,NGM,47,20,20,OP50-1,,,,,1,13.7241,0.916667,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::2,PX632::mated::NGM::47::20::OP50-1,a::2,2,a,1.05312,5.50625,1.86875,1.86875,PX632,mated.equal.PX632,mated,NGM,47,20,20,OP50-1,,,,,1,14.4741,1.25,0.0833333,0,0,,,Automated Analysis,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::2,PX632::mated::NGM::47::20::OP50-1,a::2,2,a,1.05312,5.50625,1.86875,1.86875,PX632,mated.equal.PX632,mated,NGM,47,20,20,OP50-1,,,,,1,15.5991,2.70833,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::2,PX632::mated::NGM::47::20::OP50-1,a::2,2,a,1.05312,5.50625,1.86875,1.86875,PX632,mated.equal.PX632,mated,NGM,47,20,20,OP50-1,,,,,1,16.5158,1.375,0.0416667,0,0,,,Automated Analysis,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::2,PX632::mated::NGM::47::20::OP50-1,a::2,2,a,1.05312,5.50625,1.86875,1.86875,PX632,mated.equal.PX632,mated,NGM,47,20,20,OP50-1,,,,,1,16.7658,5.25,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::2,PX632::mated::NGM::47::20::OP50-1,a::2,2,a,1.05312,5.50625,1.86875,1.86875,PX632,mated.equal.PX632,mated,NGM,47,20,20,OP50-1,,,,,1,17.3908,6.16667,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::2,PX632::mated::NGM::47::20::OP50-1,a::2,2,a,1.05312,5.50625,1.86875,1.86875,PX632,mated.equal.PX632,mated,NGM,47,20,20,OP50-1,,,,,1,18.3075,4.29167,0.0833333,0,0,,,Automated Analysis,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::2,PX632::mated::NGM::47::20::OP50-1,a::2,2,a,1.05312,5.50625,1.86875,1.86875,PX632,mated.equal.PX632,mated,NGM,47,20,20,OP50-1,,,,,1,18.3908,5.58333,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
Vesuvius,1,RL_110918,Vesuvius_a::2,PX632::mated::NGM::47::20::OP50-1,a::2,2,a,1.05312,5.50625,1.86875,1.86875,PX632,mated.equal.PX632,mated,NGM,47,20,20,OP50-1,,,,,1,18.3908,6.16667,0,0,0,,,Storyboard Annotation,Lifespan Machine,,
